date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:31	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:31%20GMT	https://kentures.de/extras/system/template_list/template_v1/images/bg-black.png	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/images/bg-black.png	(from https://kentures.de/extras/system/template_list/template_v1/css/backslider.css)
11:29:31	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:32%20GMT	https://kentures.de/extras/system/template_list/template_v1/images/thumb-back.png	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/images/thumb-back.png	(from https://kentures.de/extras/system/template_list/template_v1/css/backslider.css)
11:29:32	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:32%20GMT	https://kentures.de/extras/system/template_list/template_v1/images/thumb-forward.png	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/images/thumb-forward.png	(from https://kentures.de/extras/system/template_list/template_v1/css/backslider.css)
11:29:32	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:32%20GMT	https://kentures.de/extras/system/template_list/template_v1/css/grabbing.png	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/css/grabbing.png	(from https://kentures.de/extras/system/template_list/template_v1/css/owl.carousel.min.css)
11:29:32	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:33%20GMT	https://kentures.de/extras/system/template_list/template_v1/css/AjaxLoader.gif	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/css/AjaxLoader.gif	(from https://kentures.de/extras/system/template_list/template_v1/css/owl.carousel.min.css)
11:29:33	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:33%20GMT	https://kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.eot	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.eot	(from https://kentures.de/extras/system/template_list/template_v3/css/front_end.css)
11:29:33	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:33%20GMT	https://kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.eot?	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfontd41d.eot	(from https://kentures.de/extras/system/template_list/template_v3/css/front_end.css)
11:29:33	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:33%20GMT	https://kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.woff	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.woff	(from https://kentures.de/extras/system/template_list/template_v3/css/front_end.css)
11:29:33	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:34%20GMT	https://kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.ttf	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.ttf	(from https://kentures.de/extras/system/template_list/template_v3/css/front_end.css)
11:29:34	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:29:34%20GMT	https://kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.svg	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/fonts/OpenSans-Regular-webfont.svg	(from https://kentures.de/extras/system/template_list/template_v3/css/front_end.css)
